"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
117,178,"PER","Peru",2,"Ancash",12,"Carhuaz",117,"Marcara","Distrito","District",NA,NA
118,178,"PER","Peru",2,"Ancash",12,"Carhuaz",118,"Pariahuanca","Distrito","District",NA,NA
119,178,"PER","Peru",2,"Ancash",12,"Carhuaz",119,"San Miguel de Aco","Distrito","District",NA,NA
120,178,"PER","Peru",2,"Ancash",12,"Carhuaz",120,"Shilla","Distrito","District",NA,NA
121,178,"PER","Peru",2,"Ancash",12,"Carhuaz",121,"Tinco","Distrito","District",NA,NA
122,178,"PER","Peru",2,"Ancash",12,"Carhuaz",122,"Yungar","Distrito","District",NA,NA
123,178,"PER","Peru",2,"Ancash",13,"Carlos Fermin Fitzcarrald",123,"San Luis","Distrito","District",NA,NA
124,178,"PER","Peru",2,"Ancash",13,"Carlos Fermin Fitzcarrald",124,"San Nicolas","Distrito","District",NA,NA
125,178,"PER","Peru",2,"Ancash",13,"Carlos Fermin Fitzcarrald",125,"Yauya","Distrito","District",NA,NA
126,178,"PER","Peru",2,"Ancash",14,"Casma",126,"Buena Vista Alta","Distrito","District",NA,NA
127,178,"PER","Peru",2,"Ancash",14,"Casma",127,"Casma","Distrito","District",NA,NA
128,178,"PER","Peru",2,"Ancash",14,"Casma",128,"Comandante Noel","Distrito","District",NA,NA
129,178,"PER","Peru",2,"Ancash",14,"Casma",129,"Yautan","Distrito","District",NA,NA
130,178,"PER","Peru",2,"Ancash",15,"Corongo",130,"Aco","Distrito","District",NA,NA
131,178,"PER","Peru",2,"Ancash",15,"Corongo",131,"Bambas","Distrito","District",NA,NA
132,178,"PER","Peru",2,"Ancash",15,"Corongo",132,"Corongo","Distrito","District",NA,NA
133,178,"PER","Peru",2,"Ancash",15,"Corongo",133,"Cusca","Distrito","District",NA,NA
134,178,"PER","Peru",2,"Ancash",15,"Corongo",134,"La Pampa","Distrito","District",NA,NA
135,178,"PER","Peru",2,"Ancash",15,"Corongo",135,"Yanac","Distrito","District",NA,NA
136,178,"PER","Peru",2,"Ancash",15,"Corongo",136,"Yupan","Distrito","District",NA,NA
137,178,"PER","Peru",2,"Ancash",16,"Huaraz",137,"Cochabamba","Distrito","District",NA,NA
138,178,"PER","Peru",2,"Ancash",16,"Huaraz",138,"Colcabamba","Distrito","District",NA,NA
139,178,"PER","Peru",2,"Ancash",16,"Huaraz",139,"Huanchay","Distrito","District",NA,NA
140,178,"PER","Peru",2,"Ancash",16,"Huaraz",140,"Huaraz","Distrito","District",NA,NA
141,178,"PER","Peru",2,"Ancash",16,"Huaraz",141,"Independencia","Distrito","District",NA,NA
142,178,"PER","Peru",2,"Ancash",16,"Huaraz",142,"Jangas","Distrito","District",NA,NA
